name,instance of,S/G,description,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Married Name,Alias,Birth Date,DoB Source,DoB Source URL,DoB Google Book,Death Date,DoD (P570) Source,DoD Source URL,DoD Google Book,Father,Mother,Spouse,Marriage Date,Place of Marriage,P26+P2562 Source,P26+P2562 Source URL,P26 + P2562 Google Book,Place of Birth (P19),PoB Source,PoB Source URL,PoB Google Books,Place of Death,Place of Death Source,Place of Death Source URL,Place of Burial (P119),P119 Source,P119 Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,PoR OCLC #,PoR Google Book,Occupation,Occupation Source,Occupation Source URL,Occptn Google Book,Religion,Collection (P1343),P5008,LOD - WikiData,VIAF,LCCN,Ecartico ID (P2915),GAMEO ID (P1842),FindaGrave (P535),WikiTree ,GND ID (P7902)
Pieter Hoefnagel,human,male,,,,,,,Peder Hoofnagle | Peter Hophnagel | Pieter Hoffnagel | Peter Hofnagel,,,,,1737-11-00,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,,,Hilleke Amelsdonck Leeuw,1737-07-08,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,,,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,,preacher,GAMEO,"https://gameo.org/index.php?title=Hoefnagel,_Pieter_(d._1737)",,Mennonite,Q134288060,,,,,,"Hoefnagel, Pieter (d. 1737)",,,
Enoch Hovens,human,male,,,,,,,Enock Hoen | Hanoke Horens,1661,GAMEO,https://gameo.org/index.php?title=Hovens_family,,1742,GAMEO,https://gameo.org/index.php?title=Hovens_family,,,,,,,,,,,,,,,,,,,,Haarlem,GAMEO,https://gameo.org/index.php?title=Hovens_family,,,preacher,GAMEO,https://gameo.org/index.php?title=Hovens_family,,Mennonite,Q134288060,,,,,,Hovens family,,,
Claus Janson,human,male,,,,,,,Klaus Johnson | Claes Jansen,1658|circa,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,1723-12-00,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,,,Walborg Bengtsson,1682|circa,,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,Neshaminy Creek,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,Neshaminy Creek,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,Bensalem Township,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,Neshaminy Creek,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,,,,,,,Q110880456,WikiProject PRINT ,,,,,,150001118,,
Richard Johns Sr.,human,male,,,,,,,,1645,,,,1717,,,,,,,,,,,,"Bristol, England",,,,Maryland,,,,,,"Calvert County, MD",,,,,pastor,,,,Quaker,Q133773293,,,,,,,,,
Charlotte Sophie von Waldeck,human,female,,,,,Waldeck,Juncker,Charlotte Sophie Juncker,1667-01-28,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,1723-09-06,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,,,Johann Juncker,1707,,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,Q165763,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,Halle,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,,,Halle,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,,,,,,,Q134288060|Q126727415,WikiProject PRINT ,,,,,,,,
Walter Kerfoot,human,male,,,,,,,,1743|circa,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,1804-11-17|circa,"England, Select Deaths and Burials, 1538-1991",https://www.ancestry.com/search/collections/9840/records/12540410,,,,Alice Chrimes,1764-06-30,Warrington,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,Warrington,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,Warrington,"England, Select Deaths and Burials, 1538-1991",https://www.ancestry.com/search/collections/9840/records/12540410,Warrington,"England, Select Deaths and Burials, 1538-1991",https://www.ancestry.com/search/collections/9840/records/12540410,Warrington,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,,lawyer,,,,Evangelical,Q133886843,WikiProject PRINT ,,,,,,,,
Joan Aldam,human,female,member of the Religious Society of Friends and wife of Thomas Killam,,,,Aldam,Killam|Broughton,Joan Aldham | Joan Killam| Joan Killham | Joan Kellam,1615|circa,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548062/facts,,1681-07-15,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",,,,,Thomas Killam,1653,,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548062/facts,,Warrington,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548062/facts,,Balby,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/search/collections/7097/records/433173,Balby,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/search/collections/7097/records/433173,,,,,,,,,,Quaker,Q133773293,,,,,,,,Aldam-21,
Thomas Killam,human,male,member of the Religious Society of Friends and husband of Joan Aldam,,,,,,,1629-01-18|circa,FindmyPast,https://www.findmypast.com/transcript?id=GBPRS%2FYORKSHIRE%2FBAP%2F302788113&tab=this,,1690-03-27,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,,,,Joan Aldam,1653,,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,,Balby,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,,Balby,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,Balby,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/imageviewer/collections/7097/images/41815_b0153432-00097,,,,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,,,,,,Kilham-82,
John Killam,human,male,member of the Religious Society of Friends and husband of Margaret Killam,,,,,,Jan Killham | John Killham | John Kellam,1624-11-21,FindmyPast,https://www.findmypast.com/transcript?id=GBPRS%2FYORKSHIRE%2FBAP%2F302787753&tab=this,,1699-01-03,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",,,,,Margaret Killam,1645-05-26,Yorkshire,FindmyPast,https://www.findmypast.co.uk/transcript?id=GBOR%2FPHILLIMORE-MARS%2F0144062%2F1&tab=this,,Yorkshire,baptism record,,,,,,,,,Balby,Journal of George Fox|||461,https://archive.org/details/agv9012.0001.001.umich.edu/page/460/mode/2up,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,,,,,,Kilham-83,
Margaret Killam,human,female,member of the Religious Society of Friends and wife of John Killam,,,,Aldam,,,,,,,,,,,,,John Killam,1645-05-26,Yorkshire,FindmyPast,https://www.findmypast.co.uk/transcript?id=GBOR%2FPHILLIMORE-MARS%2F0144062%2F1&tab=this,,,,,,,,,,,,,,,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,234706084,n84133224,,,,Aldam-22,
