name,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,Birth Date,DoB Source,DoB Source URL,Death Date,DoD (P570) Source,DoD Source URL,Marriage Date,P26+P2562 Source,P26+P2562 Source URL,Source for Dates,Place of Birth (P19),PoB Source,PoB Source URL,Place of Death,Place of Death Source,Place of Death Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,Source for Places,Occupation,Occupation Source,Occupation Source URL,Gender,LOD - WikiData,DoB Source LCCN,DoB Source Alt_LCCN,DoB Source OCLC,DoB Source Alt_OCLC,DoD (P570) Source LCCN,DoD (P570) Source Alt_LCCN,DoD (P570) Source OCLC,DoD (P570) Source Alt_OCLC,P26+P2562 Source LCCN,P26+P2562 Source Alt_LCCN,P26+P2562 Source OCLC,P26+P2562 Source Alt_OCLC,Source for Dates LCCN,Source for Dates Alt_LCCN,Source for Dates OCLC,Source for Dates Alt_OCLC,PoB Source LCCN,PoB Source Alt_LCCN,PoB Source OCLC,PoB Source Alt_OCLC,Place of Death Source LCCN,Place of Death Source Alt_LCCN,Place of Death Source OCLC,Place of Death Source Alt_OCLC,Place of Residence Source LCCN,Place of Residence Source Alt_LCCN,Place of Residence Source OCLC,Place of Residence Source Alt_OCLC,Source for Places LCCN,Source for Places Alt_LCCN,Source for Places OCLC,Source for Places Alt_OCLC,Occupation Source LCCN,Occupation Source Alt_LCCN,Occupation Source OCLC,Occupation Source Alt_OCLC
"Aa, W. Van Der",,,Willem,,,,,,,,,,,,,,,,,,,"Rotterdam, Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abendanon?,Abendana,,Jospeh,,,before 1620-00-00,,https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F9&dm=1&dokref=1&indx=%23F211%23&auft=Abendana%2C+Joseph,,,,,,,,Spain,,https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F9&dm=1&dokref=1&indx=%23F211%23&auft=Abendana%2C+Joseph,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham, Robert",,,,,esquire,c. 1804,,https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854,c. 1854,,https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854,c. 1851,,https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854,,"Penrith, Cumberland, England",,https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854,,,,"126 St. Antoine St, Montreal, Canada",,https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854,,Journalist; Editor in Chief for Montreal Gazette,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham, Sarah",Forster; Foster,,,Forster; Foster,,1702-01-26 00:00:00,,https://search.findmypast.co.uk/record?id=TNA%2FRG6%2F1579%2F0%2F0023&parentid=TNA%2FRG6%2FBAP%2F51946,1777-09-17 00:00:00,,https://search.findmypast.co.uk/record?id=TNA%2FRG6%2F0821%2F0%2F0026&parentid=TNA%2FRG6%2FBUR%2F742378,1722-11-22 00:00:00,,https://search.findmypast.co.uk/record?id=TNA%2FRG6%2F1579%2F0%2F0024&parentid=TNA%2FRG6%2FMAR%2F978%2F1,,"Hawthorn, Durham, England",,https://archive.org/details/someaccountofped00fost/page/8/mode/2up,"Manchester, England",,https://archive.org/details/someaccountofped00fost/page/8/mode/2up,"Swarthmoor Hall, Swarthmoor, Lancashire, England",,,,n.a,,,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham Sr, Thomas",,,,,,c.1689,,,c.1695,,,n.a.,,,,"Swarthmoor Hall, Swarthmoor, Lancashire, England",,,"Swarthmoor Hall, Swarthmoor, Lancashire, England",,,,,,,n.a,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham Jr, Thomas",,,,,,1723-09-19 00:00:00,,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,1778-06-01 00:00:00,,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,1749-08-17 00:00:00,,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,,,,"Penrith, Cumbria, England",,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,,,,merchant,,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham III, Thomas",,,,,,1771-03-01 00:00:00,,https://archive.org/details/someaccountofped00fost/page/20/mode/2up,1861-11-02 00:00:00,,https://archive.org/details/someaccountofped00fost/page/20/mode/2up,1803-10-08 00:00:00,,https://archive.org/details/someaccountofped00fost/page/20/mode/2up,,"Seaton, Devon, England",,https://archive.org/details/someaccountofped00fost/page/20/mode/2up,"Carlisle, Cumbria, England",,https://archive.org/details/someaccountofped00fost/page/20/mode/2up,,,,,accountant; school master,,https://archivalcollections.library.mcgill.ca/index.php/abraham-thomas-1771-1861,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abrahams, Jan",Abrahamsz; Abrams,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,"Brielle, Netherlands",,,GAMEO,Preacher,GAMEO,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,[],,[]
"Abschr., Kurf. Brnadeb. Commissarii Entw. Bezw.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ackerman, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aken, Coenraad Van",Akken; Aachen,,Conrad; Konrad; Conraad; Conradt; Coenraadt; Koenraad,,,,,,,,,,,,,,,,,,,"Haarlem, Netherlands",,,,Teacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aken, Frans Van",Akken; Aachen,,Franz,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,GAMEO,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Akersloot, Volkert Arentsz",Ackersloot,,Valker; Folkert; Falker; Volckert,,,,,,,,,,,,,,,,,,,"Hoorn, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alkmaar, Adriaan Van",Alckmaar; Alkmar; Alkamaer,,Adrian; Adrien; Adriaen,,,,,,,,,,,,,,,,,,,"Rotterdam, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allcock, Edward",Haycock; Allcocke; Alcocke; Alcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allens, James",Allons,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allenson, Reginald",Allinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
