Title,Reason
A Collection of Sufferings Vol. 2-Besse,lccn not found
Accounts of Goods at Pennsbury,lccn not found
Acounts of Goods at Pennsbury,lccn not found
AlleFriezen,lccn not found
AlleGroningers,lccn not found
Biogragisch portaal van nederland,lccn not found
"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",lccn not found
"England & Wales, Society Of Friends (Quaker) Burials 1578-1841",lccn not found
FindAGrave,lccn not found
GAMEO,lccn not found
GAMEO; GAMEO,lccn not found
Gameo and SAR,lccn not found
"Lowry III,",lccn not found
"Massachusetts, Town Clerk, Vital and Town Records, 1626-2001",lccn not found
"Pennsylvania Probate Records, 1683-1994",lccn not found
Rhode Island Births & Baptisms 1600-1935,lccn not found
https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,url
https://www.deutsche-biographie.de/sfz54662.html#ndbcontent,url
"“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical",lccn not found
"“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical; Early Stages of the Quaker Movement in Lancashire",lccn not found
#15954,lccn not found
15958,lccn not found
"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",lccn not found
[Waterlands Archief],lccn not found
"""Townships: Aspull,"" in A History of the County of Lancaster: Volume 4, ed. William Farrer and J Brownbill (London: Victoria County History, 1911), 118-122. British History Online, accessed January 9, 2024, http://www.british-history.ac.uk/vch/lancs/vol4/pp118-122.",url
#15815,lccn not found
15787,lccn not found
15815,lccn not found
15851,lccn not found
15893,lccn not found
15929,lccn not found
15930,lccn not found
15935,lccn not found
15936,lccn not found
15962,lccn not found
15975,lccn not found
15990 - addressed to Canbey in Liverpool,lccn not found
16164,lccn not found
AF,lccn not found
Abstract of Wills at Philadelphia,lccn not found
Account of Some of the Families Bearing the Name of Heathcote,lccn not found
Burial Records; Marriage Record,lccn not found
"Caribbean, English Settlers in Barbados, 1637-1800, 84; Barbados, Church Records, 1637-1930",lccn not found
Chester - DAMS #16125,lccn not found
"Clayton, Anne",lccn not found
DAMS #16115,lccn not found
Death record in Research folder,lccn not found
DoD: #16160,lccn not found
DoD: DAMS #16164,lccn not found
"Early Stages of Quaker Movement in Lancashire, 58.",lccn not found
Edited collection of his letters available in Sources folder,lccn not found
"England & Wales, Society Of Friends (Quaker) Births 1578-1841",lccn not found
"England & Wales, Society Of Friends (Quaker) Marriages 1578-1841",lccn not found
"Establishment of the Meeting for Sufferings of London Yearly Meeting, 1676 in JFHS Vol. 21 No. 1-4",lccn not found
FindaGrave,lccn not found
"History of Bucks County, Pennsylvania: Including an Account of Its Original 	Exploration, Its Relation to the Settlements of New Jersey and Delaware, Its Erection Into a Separate County, Also Its Subsequent Growth and Development, with Sketches of Its Historic and Interesting Localities, and Biographies of Many of Its Representative Citizens",lccn not found
Inventories of the Estate of John and Elizabeth Tatham,lccn not found
"Joseph S. Walton, ""David Lloyd,"" in Journal of Friends' Historical Society, Friends' Historical Society (Headley Brothers, 1906), 3-4: 49,",lccn not found
https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1 .,url
"Joseph S. Walton, ""David Lloyd,"" in Journal of Friends' Historical Society, Friends' Historical Society (Headley Brothers, 1906), 3-4: 49-51.",lccn not found
"Lancashire Quakers and the Oath, 1660-1722",lccn not found
Lawmaking and Lesiglators in Pennsylvania: A Biographical Dictionary,lccn not found
Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary,lccn not found
Manchester - 15778; 15785,lccn not found
"Marriage Record, 1694 in Research folder",lccn not found
"Marriage to Mary Sharrock Record, 1667 in Research folder; Marriage to Rebecca Penketh Record, 1694 in Research folder",lccn not found
NNBW,lccn not found
"Nottinghamshire, England, Church of England Baptisms, Marriages and Burials, 1538-1812",lccn not found
OpenArchieven,lccn not found
"Robert Charles Moon, Morris Family of Philadelphia: Descendants of Anthony Morris, vol. 1 (Philadelphia, 1908): 117-119, https://play.google.com/books/reader?id=9hs5AAAAMAAJ&hl=en&pg=GBS.PA117.",url
Spence collection letter 151-152,lccn not found
The Atkinsons of New Jersey from the Records of Friends Meetings,lccn not found
"The Atkinsons of New Jersey from the Records of Friends Meetings (Earlington, 1890)",lccn not found
